Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Musical_Diversity,Listening_Intensity,Creative_Engagement,Work_Integration,Cultural_Openness,BPM_Preference,Lifestyle_Cluster
16.0,Spotify,12.0,1,0,1,Hip hop,1,1,120.0,1,0,2,1,0,3,1,0,0,0,2,2,1,2,3,0,5.0,7.0,10.0,0.0,Improve,6,12.0,1,1,2,120.0,0
17.0,Spotify,24.0,1,0,0,Rap,1,0,99.0,1,0,0,0,0,2,2,2,1,0,2,1,2,3,3,0,7.0,5.0,0.0,3.0,Improve,7,24.0,0,1,1,99.0,0
15.0,Spotify,3.0,0,0,0,Hip hop,0,0,120.0,0,0,0,0,0,3,1,0,0,0,1,1,2,3,1,0,7.0,3.0,0.0,2.0,Improve,3,3.0,0,0,0,120.0,3
15.0,Apple Music,8.0,1,0,0,Hip hop,1,1,120.0,1,0,2,1,0,3,2,3,2,1,1,3,1,3,2,2,6.0,9.0,3.0,0.0,Improve,9,8.0,0,1,2,120.0,0
17.0,Spotify,4.0,1,0,0,Rap,1,0,125.0,0,1,1,0,0,2,0,0,0,1,1,2,0,3,2,0,10.0,10.0,2.0,4.0,Improve,4,4.0,0,1,1,125.0,1
19.0,I do not use a streaming service.,5.0,1,0,0,R&B,1,1,118.0,1,1,2,3,1,3,2,0,0,1,1,1,3,3,2,1,6.0,7.0,5.0,4.0,Improve,7,5.0,0,1,2,118.0,0
18.0,Spotify,2.0,1,0,0,Pop,0,1,79.0,1,1,2,0,0,1,0,1,2,0,0,3,0,0,0,1,3.0,3.0,8.0,6.0,No effect,3,2.0,0,1,1,79.0,1
16.0,Other streaming service,3.0,1,1,1,Rock,1,1,84.0,1,1,0,1,2,2,2,0,1,0,2,0,2,1,3,2,10.0,6.0,8.0,10.0,Improve,7,3.0,2,1,2,84.0,2
18.0,Spotify,2.0,0,0,0,Pop,1,1,169.0,2,1,1,3,1,1,1,3,0,2,0,3,2,2,2,0,7.0,4.0,2.0,5.0,Improve,8,2.0,0,0,2,169.0,3
14.0,Spotify,12.0,1,1,1,Rock,1,1,136.0,2,2,1,1,1,3,2,0,0,3,0,3,3,3,3,2,8.0,6.0,10.0,5.0,Improve,10,12.0,2,1,2,136.0,2
18.0,YouTube Music,6.0,1,1,1,Pop,0,1,101.0,2,1,1,1,1,2,2,0,0,0,0,3,2,2,0,0,3.0,2.0,1.0,2.0,Improve,6,6.0,2,1,1,101.0,2
17.0,Spotify,2.0,1,1,0,Pop,1,1,126.0,0,3,1,1,0,0,1,2,3,1,1,3,1,0,2,2,6.0,6.0,4.0,5.0,Improve,6,2.0,1,1,2,126.0,2
17.0,Apple Music,1.0,1,0,0,Pop,1,0,183.0,1,0,0,1,0,0,2,0,0,0,2,2,0,0,2,0,8.0,2.0,1.0,5.0,Improve,4,1.0,0,1,1,183.0,4
20.0,Apple Music,5.0,1,1,0,Rock,1,1,,0,1,1,3,0,3,2,0,2,2,3,2,2,2,3,1,7.0,7.0,2.0,0.0,Improve,10,5.0,1,1,2,120.0,2
19.0,Spotify,2.0,1,0,0,Classical,0,0,120.0,3,0,0,0,0,1,1,0,0,2,0,3,0,0,0,3,4.0,4.0,4.0,3.0,No effect,4,2.0,0,1,0,120.0,1
19.0,Spotify,6.0,1,1,0,Metal,1,1,,0,0,0,1,0,1,2,1,0,2,3,2,0,0,2,2,9.0,8.0,2.0,3.0,Improve,6,6.0,1,1,2,120.0,2
17.0,Spotify,4.0,0,0,0,Rock,1,1,142.0,1,1,1,3,0,2,1,1,0,1,1,3,1,2,3,1,5.0,6.0,6.0,1.0,Improve,5,4.0,0,0,2,142.0,3
16.0,Spotify,1.0,1,0,0,Classical,0,0,75.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,No effect,1,1.0,0,1,0,75.0,1
18.0,Spotify,5.0,1,1,0,Pop,1,0,120.0,2,1,2,1,2,2,1,2,1,2,1,3,2,2,1,0,3.0,2.0,1.0,1.0,Improve,9,5.0,1,1,1,120.0,2
21.0,Spotify,4.0,1,0,0,Pop,0,1,89.0,0,0,1,0,0,2,0,1,1,0,0,3,0,1,0,0,6.0,8.0,0.0,2.0,Improve,2,4.0,0,1,1,89.0,1
17.0,Other streaming service,3.0,1,0,0,Pop,1,0,,0,0,2,0,0,3,1,2,0,0,1,3,2,3,3,0,2.0,0.0,4.0,0.0,No effect,7,3.0,0,1,1,120.0,0
26.0,Other streaming service,0.5,0,0,0,Rock,0,1,140.0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,3,0,9.0,8.0,1.0,0.0,No effect,2,0.5,0,0,1,140.0,3
20.0,Spotify,4.0,1,0,0,EDM,1,0,161.0,1,1,3,2,1,2,1,2,0,2,1,3,3,2,3,1,7.0,2.0,8.0,6.0,Improve,9,4.0,0,1,1,161.0,4
23.0,YouTube Music,2.0,1,1,1,Video game music,1,0,80.0,2,1,0,1,2,0,2,1,1,1,1,2,2,1,2,3,4.0,2.0,3.0,4.0,Improve,7,2.0,2,1,1,80.0,2
18.0,Spotify,5.0,1,1,0,Rock,1,0,130.0,3,0,0,2,0,2,2,1,0,2,3,2,1,2,3,2,7.0,6.0,5.0,0.0,Improve,10,5.0,1,1,1,130.0,2
37.0,YouTube Music,0.25,0,0,0,Video game music,1,0,147.0,3,1,0,1,0,1,2,0,1,0,0,3,2,0,2,2,3.0,2.0,10.0,0.0,No effect,6,0.25,0,0,1,147.0,3
17.0,Spotify,3.0,1,0,0,Classical,1,1,120.0,3,0,3,0,0,3,2,2,1,2,0,2,3,3,1,2,6.0,6.0,8.0,2.0,Improve,10,3.0,0,1,2,120.0,0
18.0,Spotify,4.0,1,0,0,Metal,1,1,77.0,1,0,0,0,0,3,1,0,0,0,3,2,2,3,3,3,1.0,0.0,8.0,2.0,No effect,7,4.0,0,1,2,77.0,0
17.0,I do not use a streaming service.,1.0,1,1,1,Folk,0,0,118.0,0,2,1,3,0,1,0,0,1,1,1,1,1,2,2,2,7.0,3.0,1.0,5.0,Improve,5,1.0,2,1,0,118.0,2
36.0,Spotify,1.0,0,1,1,Classical,0,0,132.0,3,2,0,1,0,0,0,0,0,0,2,1,0,0,2,0,8.0,9.0,3.0,0.0,No effect,4,1.0,2,0,0,132.0,3
24.0,Spotify,3.0,1,0,0,Rock,1,1,115.0,1,0,1,2,0,0,0,1,0,3,1,2,0,0,3,2,9.0,6.0,4.0,3.0,Improve,5,3.0,0,1,2,115.0,0
18.0,Spotify,5.0,1,0,1,Metal,1,1,157.0,0,0,1,1,0,3,1,0,1,1,3,2,1,3,3,0,7.0,9.0,5.0,0.0,Improve,5,5.0,1,1,2,157.0,4
19.0,Spotify,3.0,1,0,0,Pop,0,1,90.0,2,1,2,0,0,3,2,1,0,2,1,3,2,2,2,2,7.0,4.0,2.0,4.0,No effect,10,3.0,0,1,1,90.0,0
17.0,Apple Music,2.0,1,1,0,EDM,1,0,128.0,0,1,3,0,0,1,0,0,1,1,3,2,2,2,3,1,0.0,0.0,0.0,0.0,Improve,6,2.0,1,1,1,128.0,2
16.0,Spotify,6.0,1,0,0,K pop,1,1,169.0,1,0,0,1,2,3,1,3,3,3,0,2,3,3,1,0,7.0,8.0,7.0,5.0,Improve,8,6.0,0,1,2,169.0,4
23.0,Apple Music,1.0,0,0,0,Rap,0,1,140.0,2,1,2,1,0,3,3,0,0,0,2,1,1,3,3,1,10.0,6.0,3.0,10.0,No effect,7,1.0,0,0,1,140.0,3
23.0,Spotify,12.0,1,0,0,Pop,1,1,96.0,3,1,0,3,0,1,2,1,1,1,0,3,2,1,1,0,3.0,7.0,5.0,5.0,No effect,5,12.0,0,1,2,96.0,0
22.0,Spotify,4.0,1,0,1,Rock,1,1,126.0,1,0,1,2,0,1,1,0,0,1,2,3,2,1,3,1,8.0,7.0,4.0,3.0,Improve,5,4.0,1,1,2,126.0,2
16.0,Apple Music,2.0,1,1,0,Classical,1,0,,3,0,0,0,0,1,2,0,0,0,0,1,1,1,2,1,0.0,0.0,1.0,3.0,Improve,3,2.0,1,1,1,120.0,1
18.0,Spotify,6.0,1,0,0,Rock,1,0,91.0,1,0,0,1,0,0,0,0,0,0,3,1,0,2,3,0,8.0,6.0,2.0,10.0,No effect,3,6.0,0,1,1,91.0,1
42.0,I do not use a streaming service.,0.0,0,0,0,Rock,0,1,,1,1,0,0,0,0,1,0,0,0,2,1,1,0,2,2,9.0,0.0,10.0,0.0,No effect,3,0.0,0,0,1,120.0,3
23.0,Spotify,7.0,1,0,0,Folk,1,1,55.0,1,3,0,3,3,2,1,0,1,0,2,2,1,1,1,2,6.0,4.0,2.0,3.0,Improve,7,7.0,0,1,2,55.0,0
23.0,I do not use a streaming service.,1.0,1,1,0,Video game music,0,0,85.0,2,2,2,1,0,1,2,1,1,3,0,2,3,1,2,3,7.0,0.0,0.0,2.0,Improve,9,1.0,1,1,0,85.0,1
19.0,YouTube Music,1.0,0,1,0,K pop,1,1,160.0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,10.0,1.0,0.0,0.0,Improve,2,1.0,1,0,2,160.0,3
22.0,Pandora,1.0,0,1,0,Rock,1,0,108.0,1,0,2,1,0,0,3,0,0,0,0,2,1,0,3,1,8.0,7.0,0.0,5.0,Improve,4,1.0,1,0,1,108.0,3
15.0,Other streaming service,2.0,1,1,0,Rock,0,0,156.0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,3,2,3.0,2.0,6.0,7.0,Improve,4,2.0,1,1,0,156.0,1
25.0,Spotify,2.0,0,0,0,Metal,0,1,170.0,1,1,1,2,0,1,0,1,0,1,3,2,0,1,3,3,5.0,5.0,3.0,1.0,No effect,5,2.0,0,0,1,170.0,3
32.0,Spotify,5.0,1,0,0,Rock,0,1,91.0,2,0,1,2,0,2,1,1,0,0,3,3,3,1,3,0,10.0,10.0,3.0,1.0,Worsen,7,5.0,0,1,1,91.0,0
36.0,Spotify,6.0,1,0,0,Metal,1,1,174.0,3,0,1,3,0,0,0,2,0,1,3,1,0,0,2,3,5.0,4.0,10.0,2.0,Improve,6,6.0,0,1,2,174.0,4
24.0,Spotify,3.0,0,0,0,Rock,1,1,130.0,2,2,0,1,0,0,1,0,1,0,3,3,0,0,3,0,0.0,0.0,8.0,0.0,No effect,5,3.0,0,0,2,130.0,3
29.0,Spotify,4.0,0,0,0,Hip hop,1,0,140.0,1,2,1,0,1,3,1,1,1,1,0,2,2,2,2,0,8.0,8.0,5.0,10.0,Improve,6,4.0,0,0,1,140.0,3
41.0,Apple Music,3.0,1,1,1,Metal,1,1,130.0,2,0,2,0,0,1,1,0,0,2,2,2,0,1,1,0,10.0,7.0,8.0,0.0,Improve,5,3.0,2,1,2,130.0,2
36.0,I do not use a streaming service.,2.0,1,1,1,Rock,1,0,127.0,2,1,3,2,1,1,3,0,0,0,3,2,1,1,3,2,7.0,3.0,1.0,1.0,Improve,8,2.0,2,1,1,127.0,2
19.0,YouTube Music,3.0,1,0,0,Rock,1,0,160.0,1,2,2,1,0,2,1,0,2,2,2,2,3,3,3,1,8.0,7.0,4.0,0.0,Improve,10,3.0,0,1,1,160.0,4
31.0,Spotify,2.0,1,0,0,Rock,1,1,,0,2,0,1,2,0,2,1,0,0,2,3,0,0,3,0,10.0,2.0,0.0,5.0,No effect,6,2.0,0,1,2,120.0,0
16.0,Spotify,4.0,1,0,0,Rock,0,1,,2,1,1,2,0,1,1,1,1,2,2,3,1,1,3,3,9.0,8.0,1.0,2.0,Improve,7,4.0,0,1,1,120.0,0
26.0,Spotify,2.0,1,1,1,Hip hop,1,1,165.0,1,1,3,1,1,3,1,1,1,1,1,2,1,3,3,1,6.0,3.0,1.0,1.0,Improve,5,2.0,2,1,2,165.0,2
22.0,Apple Music,0.5,0,0,0,Hip hop,0,0,113.0,2,0,0,0,0,3,1,0,1,0,0,2,2,3,0,0,7.0,7.0,0.0,1.0,No effect,5,0.5,0,0,0,113.0,3
16.0,Spotify,5.0,1,1,1,Jazz,1,1,167.0,2,1,0,0,1,1,3,3,1,0,0,3,1,3,2,0,7.0,7.0,8.0,4.0,Improve,6,5.0,2,1,2,167.0,2
17.0,Spotify,5.0,1,0,0,Metal,1,1,95.0,0,2,1,1,0,0,0,0,0,0,3,1,0,0,3,2,4.0,1.0,0.0,0.0,Improve,4,5.0,0,1,2,95.0,0
19.0,Spotify,10.0,1,0,0,R&B,1,1,110.0,0,1,3,0,0,2,0,3,0,0,0,1,3,1,0,0,7.0,2.0,1.0,5.0,Improve,4,10.0,0,1,2,110.0,0
18.0,YouTube Music,2.0,0,0,0,EDM,0,1,150.0,2,1,3,0,1,1,1,0,0,2,0,3,1,2,1,3,9.0,0.0,5.0,10.0,Improve,6,2.0,0,0,1,150.0,3
18.0,YouTube Music,4.0,1,0,0,Hip hop,1,1,93.0,0,0,1,0,0,3,2,2,1,2,0,3,3,3,2,1,2.0,7.0,1.0,1.0,Improve,8,4.0,0,1,2,93.0,0
19.0,Spotify,5.0,0,1,1,Rock,1,1,90.0,1,0,0,1,0,2,3,0,3,1,2,1,2,1,3,1,10.0,8.0,7.0,0.0,Improve,6,5.0,2,0,2,90.0,2
19.0,Spotify,3.0,1,0,0,Jazz,1,0,118.0,1,0,1,0,0,3,3,1,2,3,0,2,2,2,1,3,3.0,0.0,0.0,0.0,Improve,8,3.0,0,1,1,118.0,0
22.0,Spotify,2.0,1,0,0,K pop,1,1,126.0,0,0,3,0,0,2,0,3,0,0,0,2,0,2,3,1,7.0,8.0,5.0,1.0,No effect,6,2.0,0,1,2,126.0,0
16.0,Spotify,2.5,1,1,1,Rock,1,1,103.0,1,2,0,3,0,1,2,0,2,2,1,3,1,0,3,1,2.0,1.0,0.0,0.0,Improve,7,2.5,2,1,2,103.0,2
19.0,Spotify,3.0,1,0,0,R&B,1,1,77.0,1,0,2,0,0,3,1,3,1,1,1,3,3,3,1,3,5.0,4.0,0.0,1.0,Improve,7,3.0,0,1,2,77.0,0
37.0,Spotify,1.0,1,0,0,Rock,0,0,115.0,1,1,1,1,0,1,1,1,0,1,1,2,1,1,3,0,9.0,10.0,6.0,10.0,No effect,2,1.0,0,1,0,115.0,1
14.0,Spotify,7.0,1,1,0,Jazz,0,0,110.0,1,0,3,0,0,0,3,0,2,0,0,2,0,0,3,3,2.0,0.0,0.0,0.0,Improve,6,7.0,1,1,0,110.0,1
33.0,I do not use a streaming service.,1.0,0,0,0,Metal,0,1,,1,2,2,0,0,2,0,0,1,0,3,2,1,2,2,2,5.0,2.0,5.0,1.0,Improve,8,1.0,0,0,1,120.0,3
26.0,Spotify,1.0,0,0,0,R&B,0,0,113.0,1,2,0,2,0,3,3,0,0,0,3,3,3,3,3,0,3.0,2.0,0.0,0.0,No effect,9,1.0,0,0,0,113.0,3
32.0,Spotify,3.0,1,0,0,Hip hop,0,0,157.0,0,0,1,0,0,3,0,0,2,1,0,2,3,3,1,0,2.0,0.0,7.0,0.0,No effect,5,3.0,0,1,0,157.0,1
30.0,Spotify,5.0,1,1,0,Metal,1,0,160.0,2,1,0,2,0,1,0,0,0,0,3,2,0,0,3,0,7.0,6.0,6.0,2.0,No effect,5,5.0,1,1,1,160.0,4
43.0,I do not use a streaming service.,6.0,1,1,1,Video game music,1,1,109.0,2,1,3,1,1,1,1,2,1,3,1,2,1,0,2,3,5.0,4.0,8.0,3.0,No effect,7,6.0,2,1,2,109.0,2
24.0,Spotify,4.0,1,0,0,Classical,1,1,175.0,3,1,1,0,0,1,1,0,0,0,2,3,1,0,3,1,4.0,6.0,5.0,3.0,Improve,4,4.0,0,1,2,175.0,4
36.0,YouTube Music,1.0,1,0,0,Rock,1,0,110.0,2,1,0,0,0,0,0,0,0,0,1,2,1,1,3,0,6.0,2.0,3.0,1.0,Improve,3,1.0,0,1,1,110.0,1
19.0,YouTube Music,4.0,1,0,0,Video game music,1,0,162.0,1,0,1,0,0,1,2,0,0,2,0,2,0,0,1,3,8.0,2.0,1.0,6.0,Improve,4,4.0,0,1,1,162.0,4
22.0,Spotify,10.0,1,0,0,Metal,1,1,189.0,1,3,0,3,0,0,1,0,0,0,3,1,0,1,2,2,9.0,6.0,0.0,6.0,Improve,5,10.0,0,1,2,189.0,4
20.0,Spotify,3.0,0,0,1,EDM,1,1,121.0,1,2,3,0,0,2,0,1,0,2,0,2,0,2,2,1,0.0,3.0,7.0,0.0,Improve,7,3.0,1,0,2,121.0,3
31.0,Spotify,2.0,0,0,0,Rock,1,0,200.0,1,1,0,1,0,1,1,0,0,1,2,2,0,1,3,0,8.0,9.0,6.0,2.0,Improve,3,2.0,0,0,1,200.0,3
19.0,Spotify,4.0,1,0,0,Metal,1,1,105.0,2,0,0,0,0,2,2,1,0,0,2,2,1,2,3,1,4.0,1.0,1.0,1.0,Improve,7,4.0,0,1,2,105.0,0
15.0,Spotify,8.0,1,0,0,Rock,0,0,193.0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,8.0,7.0,5.0,0.0,Improve,2,8.0,0,1,0,193.0,4
18.0,Spotify,2.0,0,1,1,Metal,1,1,149.0,0,0,1,0,0,2,0,0,0,0,3,2,0,1,3,1,3.0,4.0,6.0,1.0,Improve,4,2.0,2,0,2,149.0,3
25.0,I do not use a streaming service.,0.5,0,1,0,Classical,0,0,140.0,3,0,0,0,1,0,2,0,2,0,1,1,1,0,3,2,1.0,1.0,3.0,1.0,Improve,5,0.5,1,0,0,140.0,3
17.0,Apple Music,5.0,1,0,0,Metal,1,0,134.0,0,1,0,0,0,2,0,0,0,1,3,2,2,2,3,1,10.0,8.0,6.0,7.0,No effect,6,5.0,0,1,1,134.0,1
28.0,YouTube Music,1.0,0,0,0,Rock,1,0,120.0,1,0,3,2,0,0,0,0,0,1,1,1,0,0,2,1,6.0,6.0,2.0,0.0,No effect,3,1.0,0,0,1,120.0,3
20.0,Spotify,3.0,1,0,0,Rock,1,1,170.0,0,0,1,0,0,1,0,2,0,1,1,2,2,1,3,2,6.0,7.0,0.0,0.0,Improve,5,3.0,0,1,2,170.0,4
21.0,YouTube Music,2.0,1,1,0,Metal,1,1,107.0,2,1,0,3,0,0,1,0,0,1,3,1,0,1,2,3,8.0,4.0,10.0,0.0,No effect,5,2.0,1,1,2,107.0,2
41.0,Spotify,3.0,1,0,0,Pop,0,1,113.0,2,0,1,1,1,3,2,1,1,0,1,3,3,2,3,0,9.0,7.0,6.0,2.0,No effect,7,3.0,0,1,1,113.0,0
20.0,Spotify,2.0,1,1,0,Pop,1,0,126.0,0,0,2,0,0,1,0,0,0,0,0,3,0,1,3,2,7.0,4.0,6.0,5.0,Improve,4,2.0,1,1,1,126.0,1
34.0,Other streaming service,4.0,1,0,0,Metal,1,1,161.0,1,0,2,0,0,2,1,0,0,0,3,1,0,2,2,1,6.0,7.0,0.0,0.0,No effect,5,4.0,0,1,2,161.0,4
21.0,YouTube Music,3.0,1,0,1,Metal,1,0,,2,1,0,2,0,0,0,0,0,0,3,3,0,0,3,1,10.0,0.0,10.0,10.0,Improve,5,3.0,1,1,1,120.0,1
23.0,Spotify,2.0,1,0,0,Metal,1,1,100.0,1,0,0,1,0,0,0,0,0,2,3,1,0,0,2,1,6.0,3.0,0.0,1.0,Improve,3,2.0,0,1,2,100.0,0
16.0,Spotify,3.0,0,0,0,Pop,0,0,140.0,1,0,0,0,0,2,1,0,1,0,0,3,2,1,0,0,7.0,5.0,5.0,3.0,Improve,3,3.0,0,0,0,140.0,3
19.0,YouTube Music,4.0,1,0,0,Pop,1,0,156.0,1,1,1,1,0,2,1,1,0,0,1,3,1,2,2,2,7.0,10.0,5.0,0.0,Improve,5,4.0,0,1,1,156.0,4
22.0,Spotify,2.0,1,1,0,Rock,1,1,98.0,2,0,0,1,0,2,2,0,2,1,1,3,2,2,3,2,8.0,6.0,0.0,0.0,Improve,9,2.0,1,1,2,98.0,2
19.0,Spotify,8.0,1,0,0,K pop,1,1,100.0,3,0,1,0,0,2,2,3,0,3,0,3,2,1,1,1,4.0,3.0,0.0,0.0,Improve,7,8.0,0,1,2,100.0,0
23.0,Spotify,4.0,1,0,0,Hip hop,1,1,78.0,1,0,2,2,0,3,1,3,2,3,1,3,3,3,2,2,7.0,6.0,7.0,5.0,Improve,11,4.0,0,1,2,78.0,0
23.0,Spotify,2.0,0,1,0,Metal,0,1,117.0,0,0,1,0,0,1,1,0,0,0,3,0,0,1,2,0,7.0,3.0,2.0,3.0,Improve,2,2.0,1,0,1,117.0,3
22.0,Spotify,1.0,0,0,1,EDM,1,0,128.0,0,0,3,0,1,2,2,0,0,0,0,3,3,2,2,0,2.0,7.0,5.0,0.0,Improve,7,1.0,1,0,1,128.0,3
17.0,Spotify,3.0,1,0,0,Rock,1,0,130.0,1,2,2,2,0,1,1,1,0,3,2,3,3,2,3,2,7.0,8.0,6.0,5.0,Improve,10,3.0,0,1,1,130.0,0
28.0,Spotify,0.5,0,0,0,Folk,1,0,130.0,1,2,0,3,0,1,1,0,0,0,0,2,0,1,3,1,4.0,7.0,1.0,0.0,Improve,4,0.5,0,0,1,130.0,3
23.0,Spotify,2.0,0,0,0,Rock,1,1,,0,0,0,0,0,2,0,2,0,0,3,3,0,2,3,2,7.0,8.0,5.0,1.0,No effect,7,2.0,0,0,2,120.0,3
19.0,Apple Music,3.0,1,0,0,Rock,1,1,126.0,0,2,2,0,0,3,0,0,0,1,1,1,1,2,3,2,5.0,2.0,8.0,6.0,Improve,6,3.0,0,1,2,126.0,0
17.0,Spotify,2.0,1,1,1,Hip hop,1,1,122.0,1,0,2,2,0,3,2,1,1,1,3,1,1,3,3,0,10.0,7.0,4.0,2.0,Improve,7,2.0,2,1,2,122.0,2
21.0,YouTube Music,1.0,0,0,0,Rock,1,0,179.0,0,1,0,1,0,2,1,0,0,3,2,1,2,2,3,1,6.0,5.0,0.0,0.0,No effect,6,1.0,0,0,1,179.0,3
29.0,Other streaming service,5.0,1,0,0,Jazz,1,1,200.0,1,0,0,1,0,0,3,0,1,1,1,0,2,0,3,2,7.0,2.0,3.0,1.0,Improve,4,5.0,0,1,2,200.0,4
22.0,Spotify,10.0,0,1,1,EDM,0,1,128.0,2,2,3,3,0,0,1,0,0,0,1,0,1,0,2,2,4.0,7.0,7.0,3.0,Improve,6,10.0,2,0,1,128.0,2
18.0,Spotify,4.0,1,1,1,Pop,1,1,130.0,2,1,2,1,0,1,2,2,2,2,3,3,1,1,3,3,4.0,5.0,6.0,5.0,Improve,10,4.0,2,1,2,130.0,2
13.0,Spotify,2.0,1,1,1,Rock,1,0,120.0,1,0,2,3,1,2,0,0,0,2,2,3,1,3,3,3,7.0,10.0,5.0,6.0,Worsen,9,2.0,2,1,1,120.0,2
24.0,Spotify,1.0,0,0,0,Metal,1,0,86.0,2,0,1,1,0,1,0,0,0,0,3,2,2,2,3,1,6.0,4.0,5.0,0.0,Improve,6,1.0,0,0,1,86.0,3
35.0,Spotify,6.0,1,0,0,Rock,1,1,166.0,2,1,2,3,0,1,2,1,1,2,2,2,1,1,3,2,4.0,1.0,3.0,1.0,No effect,9,6.0,0,1,2,166.0,4
29.0,YouTube Music,1.0,1,1,0,Video game music,1,0,110.0,2,0,0,1,2,0,1,0,0,0,0,2,1,0,2,2,6.0,6.0,1.0,2.0,Improve,5,1.0,1,1,1,110.0,1
